article_id,article_version,state_id,last_updated
53052,48,2,2025-08-19 18:16:45.900000000
53052,48,3,2025-08-19 18:16:45.900000000
53052,48,12,2025-08-19 18:16:45.900000000
53052,48,14,2025-08-19 18:16:45.900000000
53052,48,19,2025-08-19 18:16:45.900000000
53052,48,20,2025-08-19 18:16:45.900000000
53052,48,22,2025-08-19 18:16:45.900000000
53052,48,23,2025-08-19 18:16:45.900000000
53052,48,31,2025-08-19 18:16:45.900000000
53052,48,34,2025-08-19 18:16:45.900000000
53052,48,39,2025-08-19 18:16:45.900000000
53052,48,42,2025-08-19 18:16:45.900000000
53052,48,43,2025-08-19 18:16:45.900000000
53052,48,48,2025-08-19 18:16:45.900000000
53052,48,50,2025-08-19 18:16:45.900000000
53052,48,51,2025-08-19 18:16:45.900000000
53055,13,2,2019-04-04 21:20:45.750000000
53055,13,3,2019-04-04 21:20:45.750000000
53055,13,12,2019-04-04 21:20:45.750000000
53055,13,14,2019-04-04 21:20:45.750000000
53055,13,19,2019-04-04 21:20:45.750000000
53055,13,20,2019-04-04 21:20:45.750000000
53055,13,22,2019-04-04 21:20:45.750000000
53055,13,23,2019-04-04 21:20:45.750000000
53055,13,31,2019-04-04 21:20:45.750000000
53055,13,34,2019-04-04 21:20:45.750000000
53055,13,39,2019-04-04 21:20:45.750000000
53055,13,42,2019-04-04 21:20:45.750000000
53055,13,43,2019-04-04 21:20:45.750000000
53055,13,48,2019-04-04 21:20:45.750000000
53055,13,50,2019-04-04 21:20:45.750000000
53055,13,51,2019-04-04 21:20:45.750000000
53056,15,2,2024-11-27 17:20:58.703000000
53056,15,3,2024-11-27 17:20:58.703000000
53056,15,12,2024-11-27 17:20:58.703000000
53056,15,14,2024-11-27 17:20:58.703000000
53056,15,19,2024-11-27 17:20:58.703000000
53056,15,20,2024-11-27 17:20:58.703000000
53056,15,22,2024-11-27 17:20:58.703000000
53056,15,23,2024-11-27 17:20:58.703000000
53056,15,31,2024-11-27 17:20:58.703000000
53056,15,34,2024-11-27 17:20:58.703000000
53056,15,39,2024-11-27 17:20:58.703000000
53056,15,42,2024-11-27 17:20:58.703000000
53056,15,43,2024-11-27 17:20:58.703000000
53056,15,48,2024-11-27 17:20:58.703000000
53056,15,50,2024-11-27 17:20:58.703000000
53056,15,51,2024-11-27 17:20:58.703000000
53057,63,2,2025-08-14 15:03:38.337000000
53057,63,3,2025-08-14 15:03:38.337000000
53057,63,12,2025-08-14 15:03:38.337000000
53057,63,14,2025-08-14 15:03:38.337000000
53057,63,19,2025-08-14 15:03:38.337000000
53057,63,20,2025-08-14 15:03:38.337000000
53057,63,22,2025-08-14 15:03:38.337000000
53057,63,23,2025-08-14 15:03:38.337000000
53057,63,31,2025-08-14 15:03:38.337000000
53057,63,34,2025-08-14 15:03:38.337000000
53057,63,39,2025-08-14 15:03:38.337000000
53057,63,42,2025-08-14 15:03:38.337000000
53057,63,43,2025-08-14 15:03:38.337000000
53057,63,48,2025-08-14 15:03:38.337000000
53057,63,50,2025-08-14 15:03:38.337000000
53057,63,51,2025-08-14 15:03:38.337000000
53058,61,2,2025-08-14 17:49:08.443000000
53058,61,3,2025-08-14 17:49:08.443000000
53058,61,12,2025-08-14 17:49:08.443000000
53058,61,14,2025-08-14 17:49:08.443000000
53058,61,19,2025-08-14 17:49:08.443000000
53058,61,20,2025-08-14 17:49:08.443000000
53058,61,22,2025-08-14 17:49:08.443000000
53058,61,23,2025-08-14 17:49:08.443000000
53058,61,31,2025-08-14 17:49:08.443000000
53058,61,34,2025-08-14 17:49:08.443000000
53058,61,39,2025-08-14 17:49:08.443000000
53058,61,42,2025-08-14 17:49:08.443000000
53058,61,43,2025-08-14 17:49:08.443000000
53058,61,48,2025-08-14 17:49:08.443000000
53058,61,50,2025-08-14 17:49:08.443000000
53058,61,51,2025-08-14 17:49:08.443000000
56401,2,2,2019-03-14 18:05:00.433000000
56502,8,2,2023-11-20 14:21:05.380000000
56502,8,3,2023-11-20 14:21:05.380000000
56502,8,12,2023-11-20 14:21:05.380000000
56502,8,14,2023-11-20 14:21:05.380000000
56502,8,19,2023-11-20 14:21:05.380000000
56502,8,20,2023-11-20 14:21:05.380000000
56502,8,22,2023-11-20 14:21:05.380000000
56502,8,23,2023-11-20 14:21:05.380000000
56502,8,31,2023-11-20 14:21:05.380000000
56502,8,34,2023-11-20 14:21:05.380000000
56502,8,39,2023-11-20 14:21:05.380000000
56502,8,42,2023-11-20 14:21:05.380000000
56502,8,43,2023-11-20 14:21:05.380000000
56502,8,48,2023-11-20 14:21:05.380000000
56502,8,50,2023-11-20 14:21:05.380000000
56502,8,51,2023-11-20 14:21:05.380000000
56545,14,2,2024-11-13 14:10:49.430000000
56545,14,3,2024-11-13 14:10:49.430000000
56545,14,12,2024-11-13 14:10:49.430000000
56545,14,14,2024-11-13 14:10:49.430000000
56545,14,19,2024-11-13 14:10:49.430000000
56545,14,20,2024-11-13 14:10:49.430000000
56545,14,22,2024-11-13 14:10:49.430000000
56545,14,23,2024-11-13 14:10:49.430000000
56545,14,31,2024-11-13 14:10:49.430000000
56545,14,34,2024-11-13 14:10:49.430000000
56545,14,39,2024-11-13 14:10:49.430000000
56545,14,42,2024-11-13 14:10:49.430000000
56545,14,43,2024-11-13 14:10:49.430000000
56545,14,48,2024-11-13 14:10:49.430000000
56545,14,50,2024-11-13 14:10:49.430000000
56545,14,51,2024-11-13 14:10:49.430000000
56610,13,2,2023-11-06 15:53:06.083000000
56610,13,3,2023-11-06 15:53:06.083000000
56610,13,12,2023-11-06 15:53:06.083000000
56610,13,14,2023-11-06 15:53:06.083000000
56610,13,19,2023-11-06 15:53:06.083000000
56610,13,20,2023-11-06 15:53:06.083000000
56610,13,22,2023-11-06 15:53:06.083000000
56610,13,23,2023-11-06 15:53:06.083000000
56610,13,31,2023-11-06 15:53:06.083000000
56610,13,34,2023-11-06 15:53:06.083000000
56610,13,39,2023-11-06 15:53:06.083000000
56610,13,42,2023-11-06 15:53:06.083000000
56610,13,43,2023-11-06 15:53:06.083000000
56610,13,48,2023-11-06 15:53:06.083000000
56610,13,50,2023-11-06 15:53:06.083000000
56610,13,51,2023-11-06 15:53:06.083000000
56639,20,2,2025-08-14 13:23:36.190000000
56639,20,3,2025-08-14 13:23:36.190000000
56639,20,12,2025-08-14 13:23:36.190000000
56639,20,14,2025-08-14 13:23:36.190000000
56639,20,19,2025-08-14 13:23:36.190000000
56639,20,20,2025-08-14 13:23:36.190000000
56639,20,22,2025-08-14 13:23:36.190000000
56639,20,23,2025-08-14 13:23:36.190000000
56639,20,31,2025-08-14 13:23:36.190000000
56639,20,34,2025-08-14 13:23:36.190000000
56639,20,39,2025-08-14 13:23:36.190000000
56639,20,42,2025-08-14 13:23:36.190000000
56639,20,43,2025-08-14 13:23:36.190000000
56639,20,48,2025-08-14 13:23:36.190000000
56639,20,50,2025-08-14 13:23:36.190000000
56639,20,51,2025-08-14 13:23:36.190000000
56641,18,2,2025-08-14 13:58:37.957000000
56641,18,3,2025-08-14 13:58:37.957000000
56641,18,12,2025-08-14 13:58:37.957000000
56641,18,14,2025-08-14 13:58:37.957000000
56641,18,19,2025-08-14 13:58:37.957000000
56641,18,20,2025-08-14 13:58:37.957000000
56641,18,22,2025-08-14 13:58:37.957000000
56641,18,23,2025-08-14 13:58:37.957000000
56641,18,31,2025-08-14 13:58:37.957000000
56641,18,34,2025-08-14 13:58:37.957000000
56641,18,39,2025-08-14 13:58:37.957000000
56641,18,42,2025-08-14 13:58:37.957000000
56641,18,43,2025-08-14 13:58:37.957000000
56641,18,48,2025-08-14 13:58:37.957000000
56641,18,50,2025-08-14 13:58:37.957000000
56641,18,51,2025-08-14 13:58:37.957000000
56648,19,2,2023-10-19 18:16:11.947000000
56648,19,3,2023-10-19 18:16:11.947000000
56648,19,12,2023-10-19 18:16:11.947000000
56648,19,14,2023-10-19 18:16:11.947000000
56648,19,19,2023-10-19 18:16:11.947000000
56648,19,20,2023-10-19 18:16:11.947000000
56648,19,22,2023-10-19 18:16:11.947000000
56648,19,23,2023-10-19 18:16:11.947000000
56648,19,31,2023-10-19 18:16:11.947000000
56648,19,34,2023-10-19 18:16:11.947000000
56648,19,39,2023-10-19 18:16:11.947000000
56648,19,42,2023-10-19 18:16:11.947000000
56648,19,43,2023-10-19 18:16:11.947000000
56648,19,48,2023-10-19 18:16:11.947000000
56648,19,50,2023-10-19 18:16:11.947000000
56648,19,51,2023-10-19 18:16:11.947000000
56669,16,2,2024-07-23 15:40:31.667000000
56669,16,3,2024-07-23 15:40:31.667000000
56669,16,12,2024-07-23 15:40:31.667000000
56669,16,14,2024-07-23 15:40:31.667000000
56669,16,19,2024-07-23 15:40:31.667000000
56669,16,20,2024-07-23 15:40:31.667000000
56669,16,22,2024-07-23 15:40:31.667000000
56669,16,23,2024-07-23 15:40:31.667000000
56669,16,31,2024-07-23 15:40:31.667000000
56669,16,34,2024-07-23 15:40:31.667000000
56669,16,39,2024-07-23 15:40:31.667000000
56669,16,42,2024-07-23 15:40:31.667000000
56669,16,43,2024-07-23 15:40:31.667000000
56669,16,48,2024-07-23 15:40:31.667000000
56669,16,50,2024-07-23 15:40:31.667000000
56669,16,51,2024-07-23 15:40:31.667000000
56674,11,2,2025-04-09 14:28:57.470000000
56674,11,3,2025-04-09 14:28:57.470000000
56674,11,12,2025-04-09 14:28:57.470000000
56674,11,14,2025-04-09 14:28:57.470000000
56674,11,19,2025-04-09 14:28:57.470000000
56674,11,20,2025-04-09 14:28:57.470000000
56674,11,22,2025-04-09 14:28:57.470000000
56674,11,23,2025-04-09 14:28:57.470000000
56674,11,31,2025-04-09 14:28:57.470000000
56674,11,34,2025-04-09 14:28:57.470000000
56674,11,39,2025-04-09 14:28:57.470000000
56674,11,42,2025-04-09 14:28:57.470000000
56674,11,43,2025-04-09 14:28:57.470000000
56674,11,48,2025-04-09 14:28:57.470000000
56674,11,50,2025-04-09 14:28:57.470000000
56674,11,51,2025-04-09 14:28:57.470000000
56679,9,2,2024-08-22 14:02:01.680000000
56679,9,3,2024-08-22 14:02:01.680000000
