lcd_id,lcd_version,contractor_id,contractor_type_id,contractor_version,last_updated
33252,29,368,12,1,2020-06-19 22:52:07.913000000
33252,29,369,12,1,2020-06-19 22:52:07.913000000
33252,29,370,12,1,2020-06-19 22:52:07.913000000
33252,29,371,12,1,2020-06-19 22:52:07.913000000
33252,29,372,12,1,2020-06-19 22:52:07.913000000
33261,40,368,12,1,2021-05-21 14:22:14.300000000
33261,40,369,12,1,2021-05-21 14:22:14.300000000
33261,40,370,12,1,2021-05-21 14:22:14.300000000
33261,40,371,12,1,2021-05-21 14:22:14.300000000
33261,40,372,12,1,2021-05-21 14:22:14.300000000
33267,17,368,12,1,2019-11-21 23:30:59.287000000
33267,17,369,12,1,2019-11-21 23:30:59.287000000
33267,17,370,12,1,2019-11-21 23:30:59.287000000
33267,17,371,12,1,2019-11-21 23:30:59.287000000
33267,17,372,12,1,2019-11-21 23:30:59.287000000
33274,43,368,12,1,2025-09-19 13:08:10.673000000
33274,43,369,12,1,2025-09-19 13:08:10.673000000
33274,43,370,12,1,2025-09-19 13:08:10.673000000
33274,43,371,12,1,2025-09-19 13:08:10.673000000
33274,43,372,12,1,2025-09-19 13:08:10.673000000
33312,40,139,10,2,2025-09-23 19:55:07.567000000
33312,40,140,10,2,2025-09-23 19:55:07.567000000
33312,40,388,10,1,2025-09-23 19:55:07.567000000
33312,40,389,10,1,2025-09-23 19:55:07.567000000
33317,34,139,10,2,2025-03-27 12:50:40.197000000
33317,34,140,10,2,2025-03-27 12:50:40.197000000
33317,34,388,10,1,2025-03-27 12:50:40.197000000
33317,34,389,10,1,2025-03-27 12:50:40.197000000
33318,63,139,10,2,2025-12-04 18:13:27.210000000
33318,63,140,10,2,2025-12-04 18:13:27.210000000
33318,63,388,10,1,2025-12-04 18:13:27.210000000
33318,63,389,10,1,2025-12-04 18:13:27.210000000
33369,26,139,10,2,2020-02-28 20:03:20.573000000
33369,26,140,10,2,2020-02-28 20:03:20.573000000
33369,26,388,10,1,2020-02-28 20:03:20.573000000
33369,26,389,10,1,2020-02-28 20:03:20.573000000
33370,55,139,10,2,2025-12-11 16:52:05.873000000
33370,55,140,10,2,2025-12-11 16:52:05.873000000
33370,55,388,10,1,2025-12-11 16:52:05.873000000
33370,55,389,10,1,2025-12-11 16:52:05.873000000
33393,9,272,11,1,2023-11-07 22:08:52.930000000
33393,9,308,13,1,2023-11-07 22:08:52.930000000
33394,54,269,8,1,2025-05-22 13:38:26.790000000
33394,54,270,8,1,2025-05-22 13:38:26.790000000
33394,54,271,8,1,2025-05-22 13:38:26.790000000
33394,54,273,9,1,2025-05-22 13:38:26.790000000
33394,54,274,9,1,2025-05-22 13:38:26.790000000
33394,54,275,9,1,2025-05-22 13:38:26.790000000
33394,54,297,13,1,2025-05-22 13:38:26.790000000
33394,54,298,13,1,2025-05-22 13:38:26.790000000
33394,54,299,13,1,2025-05-22 13:38:26.790000000
33394,54,300,13,1,2025-05-22 13:38:26.790000000
33394,54,301,13,1,2025-05-22 13:38:26.790000000
33394,54,302,13,1,2025-05-22 13:38:26.790000000
33394,54,303,13,1,2025-05-22 13:38:26.790000000
33394,54,304,13,1,2025-05-22 13:38:26.790000000
33394,54,305,13,1,2025-05-22 13:38:26.790000000
33394,54,306,13,1,2025-05-22 13:38:26.790000000
33394,54,307,13,1,2025-05-22 13:38:26.790000000
33394,54,309,13,1,2025-05-22 13:38:26.790000000
33394,54,310,13,1,2025-05-22 13:38:26.790000000
33394,54,311,13,1,2025-05-22 13:38:26.790000000
33394,54,312,13,1,2025-05-22 13:38:26.790000000
33394,54,313,13,1,2025-05-22 13:38:26.790000000
33396,10,269,8,1,2019-10-18 14:28:57.443000000
33396,10,270,8,1,2019-10-18 14:28:57.443000000
33396,10,271,8,1,2019-10-18 14:28:57.443000000
33396,10,273,9,1,2019-10-18 14:28:57.443000000
33396,10,274,9,1,2019-10-18 14:28:57.443000000
33396,10,275,9,1,2019-10-18 14:28:57.443000000
33396,10,297,13,1,2019-10-18 14:28:57.443000000
33396,10,298,13,1,2019-10-18 14:28:57.443000000
33396,10,299,13,1,2019-10-18 14:28:57.443000000
33396,10,300,13,1,2019-10-18 14:28:57.443000000
33396,10,301,13,1,2019-10-18 14:28:57.443000000
33396,10,302,13,1,2019-10-18 14:28:57.443000000
33396,10,303,13,1,2019-10-18 14:28:57.443000000
33396,10,304,13,1,2019-10-18 14:28:57.443000000
33396,10,305,13,1,2019-10-18 14:28:57.443000000
33396,10,306,13,1,2019-10-18 14:28:57.443000000
33396,10,307,13,1,2019-10-18 14:28:57.443000000
33396,10,309,13,1,2019-10-18 14:28:57.443000000
33396,10,310,13,1,2019-10-18 14:28:57.443000000
33396,10,311,13,1,2019-10-18 14:28:57.443000000
33396,10,312,13,1,2019-10-18 14:28:57.443000000
33396,10,313,13,1,2019-10-18 14:28:57.443000000
33398,35,269,8,1,2025-07-17 13:37:28.087000000
33398,35,270,8,1,2025-07-17 13:37:28.087000000
33398,35,271,8,1,2025-07-17 13:37:28.087000000
33398,35,273,9,1,2025-07-17 13:37:28.087000000
33398,35,274,9,1,2025-07-17 13:37:28.087000000
33398,35,275,9,1,2025-07-17 13:37:28.087000000
33398,35,297,13,1,2025-07-17 13:37:28.087000000
33398,35,298,13,1,2025-07-17 13:37:28.087000000
33398,35,299,13,1,2025-07-17 13:37:28.087000000
33398,35,300,13,1,2025-07-17 13:37:28.087000000
33398,35,301,13,1,2025-07-17 13:37:28.087000000
33398,35,302,13,1,2025-07-17 13:37:28.087000000
33398,35,303,13,1,2025-07-17 13:37:28.087000000
33398,35,304,13,1,2025-07-17 13:37:28.087000000
33398,35,305,13,1,2025-07-17 13:37:28.087000000
33398,35,306,13,1,2025-07-17 13:37:28.087000000
33398,35,307,13,1,2025-07-17 13:37:28.087000000
33398,35,309,13,1,2025-07-17 13:37:28.087000000
33398,35,310,13,1,2025-07-17 13:37:28.087000000
33398,35,311,13,1,2025-07-17 13:37:28.087000000
33398,35,312,13,1,2025-07-17 13:37:28.087000000
33398,35,313,13,1,2025-07-17 13:37:28.087000000
33399,14,269,8,1,2019-12-20 17:22:27.337000000
33399,14,270,8,1,2019-12-20 17:22:27.337000000
33399,14,271,8,1,2019-12-20 17:22:27.337000000
33399,14,273,9,1,2019-12-20 17:22:27.337000000
33399,14,274,9,1,2019-12-20 17:22:27.337000000
33399,14,275,9,1,2019-12-20 17:22:27.337000000
33399,14,297,13,1,2019-12-20 17:22:27.337000000
33399,14,298,13,1,2019-12-20 17:22:27.337000000
33399,14,299,13,1,2019-12-20 17:22:27.337000000
33399,14,300,13,1,2019-12-20 17:22:27.337000000
33399,14,301,13,1,2019-12-20 17:22:27.337000000
33399,14,302,13,1,2019-12-20 17:22:27.337000000
33399,14,303,13,1,2019-12-20 17:22:27.337000000
33399,14,304,13,1,2019-12-20 17:22:27.337000000
33399,14,305,13,1,2019-12-20 17:22:27.337000000
33399,14,306,13,1,2019-12-20 17:22:27.337000000
33399,14,307,13,1,2019-12-20 17:22:27.337000000
33399,14,309,13,1,2019-12-20 17:22:27.337000000
33399,14,310,13,1,2019-12-20 17:22:27.337000000
33399,14,311,13,1,2019-12-20 17:22:27.337000000
33399,14,312,13,1,2019-12-20 17:22:27.337000000
33399,14,313,13,1,2019-12-20 17:22:27.337000000
33405,25,368,12,1,2020-06-19 22:57:32.487000000
33405,25,369,12,1,2020-06-19 22:57:32.487000000
33405,25,370,12,1,2020-06-19 22:57:32.487000000
33405,25,371,12,1,2020-06-19 22:57:32.487000000
33405,25,372,12,1,2020-06-19 22:57:32.487000000
33411,29,368,12,1,2019-10-02 20:01:24.527000000
33411,29,369,12,1,2019-10-02 20:01:24.527000000
33411,29,370,12,1,2019-10-02 20:01:24.527000000
33411,29,371,12,1,2019-10-02 20:01:24.527000000
33411,29,372,12,1,2019-10-02 20:01:24.527000000
33417,40,378,13,1,2021-04-05 19:41:21.933000000
33417,40,379,13,1,2021-04-05 19:41:21.933000000
33417,40,380,13,1,2021-04-05 19:41:21.933000000
33417,40,381,13,1,2021-04-05 19:41:21.933000000
33417,40,394,12,1,2021-04-05 19:41:21.933000000
33417,40,395,12,1,2021-04-05 19:41:21.933000000
33417,40,396,12,1,2021-04-05 19:41:21.933000000
33420,41,374,13,1,2021-02-25 14:46:39.370000000
33420,41,375,13,1,2021-02-25 14:46:39.370000000
33420,41,376,13,1,2021-02-25 14:46:39.370000000
