"lcd_id","lcd_version","hcpc_code_id","hcpc_code_version","hcpc_code_group","range","last_updated","long_description","short_description"
"33312","40","A9900","99","4","N","2025-09-23 19:55:07","MISCELLANEOUS DME SUPPLY, ACCESSORY, AND/OR SERVICE COMPONENT OF ANOTHER HCPCS CODE","Supply/accessory/service"
"33312","40","E0953","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, LATERAL THIGH OR KNEE SUPPORT, ANY TYPE INCLUDING FIXED MOUNTING HARDWARE, EACH","W/c lateral thigh/knee sup"
"33312","40","E0955","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, HEADREST, CUSHIONED, ANY TYPE, INCLUDING FIXED MOUNTING HARDWARE, EACH","Cushioned headrest"
"33312","40","E0956","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, LATERAL TRUNK OR HIP SUPPORT, ANY TYPE, INCLUDING FIXED MOUNTING HARDWARE, EACH","W/c lateral trunk/hip suppor"
"33312","40","E0957","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, MEDIAL THIGH SUPPORT, ANY TYPE, INCLUDING FIXED MOUNTING HARDWARE, EACH","W/c medial thigh support"
"33312","40","E0960","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, SHOULDER HARNESS/STRAPS OR CHEST STRAP, INCLUDING ANY TYPE MOUNTING HARDWARE","W/c shoulder harness/straps"
"33312","40","E0966","99","3","N","2025-09-23 19:55:07","MANUAL WHEELCHAIR ACCESSORY, HEADREST EXTENSION, EACH","Wheelchair head rest extensi"
"33312","40","E0992","99","4","N","2025-09-23 19:55:07","MANUAL WHEELCHAIR ACCESSORY, SOLID SEAT INSERT","Wheelchair solid seat insert"
"33312","40","E1028","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, MANUAL SWINGAWAY, RETRACTABLE OR REMOVABLE MOUNTING HARDWARE, OTHER","W/c manual swingaway"
"33312","40","E1033","99","3","N","2025-09-23 19:55:07","WHEELCHAIR ACCESSORY, MANUAL SWINGAWAY, RETRACTABLE OR REMOVABLE MOUNTING HARDWARE FOR HEADREST, CUSHIONED, ANY TYPE","Wheelchair hardware headrest"
